data:text/csv;charset=utf-8,3
1.2606390901394187,0.42180093246996403,0.17534458420723675
0.5580874717473984,0.5014654208153486,-0.15076339291930196
0.9412284186944365,0.5149439110696316,0.6100763099208474
1.086903986955434,0.5289747745096683,1.2299427769720555
1.1709712403044104,0.16144728401899336,2.336831713466346
2.3714862627401945,-0.0039022681355476378,3.1474589450433847
3.140370155826211,-0.21269056452214716,3.343514893367886
4.643757825751602,-1.0906021108210087,3.8355627897575495
5.620900438392162,-2.0564631587296724,4.656000344470143
5.680756648939847,-2.4363982953727246,4.656087145970761
5.520250445163249,-3.531970595821738,4.513306860759854
5.544405812254547,-4.090282523974776,4.539716436518728
5.946320725515484,-4.931884155008197,4.377521549002826
6.567713086959719,-5.2795624511688946,3.096718937887251
6.488450749674439,-5.806154129934311,2.6078409037053585
6.298384689414501,-5.9020139662772415,2.523091951702535
6.079332773166895,-5.508271838077903,2.4985604447752237
5.373960982787609,-5.303115176191926,1.6733564063131807
3.991021354755759,-4.135084957775473,-0.19183380058482288
3.3348288980871437,-1.9496575654804706,-1.6777297990918159
3.3469708790406583,-0.46464580246210097,-2.122176863133907
2.844782989169657,3.2458623283892867,-1.012564419959858
-1.64484649727419,5.561829240742325,2.612204359611869
-4.3641628857359285,6.25741262755692,4.1560143485575916
-10.666755255973339,7.311449971568584,3.5442549078553913
-13.512759603631496,6.5466650382339955,-1.3683914627194405
-13.23031628844738,6.529098986405134,-3.3947722023963927
-11.134787778264284,6.332282282841205,-6.634294806370138
-10.839746847313641,4.423909498429298,-8.428284255754948
-8.721696708720922,4.306114893653989,-7.793104776498675
-1.9623326303973794,4.46128032092452,-5.0505485283553595
-1.0034968049503863,4.324224550840258,-4.690950077298283
-2.1174343447819353,3.2961937547445297,-4.793758417604863
-3.3567338559031485,0.9409913950681685,-2.403951777537167
-3.7559047311529516,0.0425987862765789,1.476679988002777
-3.64139689296335,-0.3457558036655187,1.529237858235836
-2.5944959767028686,-0.552295444342494,-0.6431488507002592
-1.5154808433011173,0.09852993233501911,-2.023932469742
-1.490143280687928,0.3094926501512527,-2.0880553978234526
-1.8440495114527642,0.08284662551283836,-1.9400074013426898
-1.4208506948836146,-0.1096142209291458,-1.3646936311148106
-1.5476625727206468,0.2552507723540067,-0.2607587221205234
